window,group,concept,volume,share_of_concept,share_of_group
buildup_may,us_aligned,military_action,504,0.5413533834586466,0.2360655737704918
buildup_may,us_aligned,nuclear_program,618,0.4458874458874459,0.2894613583138173
buildup_may,us_aligned,deterrence,184,0.49595687331536387,0.08618266978922717
buildup_may,us_aligned,diplomacy,785,0.5057989690721649,0.36768149882903983
buildup_may,us_aligned,strike_claims,44,0.5,0.020608899297423888
buildup_may,iran_aligned,military_action,303,0.32545649838882923,0.18866749688667497
buildup_may,iran_aligned,nuclear_program,626,0.45165945165945165,0.38978829389788294
buildup_may,iran_aligned,deterrence,141,0.38005390835579517,0.08779576587795766
buildup_may,iran_aligned,diplomacy,503,0.3240979381443299,0.31320049813200496
buildup_may,iran_aligned,strike_claims,33,0.375,0.02054794520547945
buildup_may,neutral,military_action,12,0.01288936627282492,0.12244897959183673
buildup_may,neutral,nuclear_program,45,0.032467532467532464,0.45918367346938777
buildup_may,neutral,deterrence,11,0.029649595687331536,0.11224489795918367
buildup_may,neutral,diplomacy,30,0.019329896907216496,0.30612244897959184
buildup_may,neutral,strike_claims,0,0.0,0.0
buildup_may,other,military_action,112,0.12030075187969924,0.22903885480572597
buildup_may,other,nuclear_program,97,0.06998556998556998,0.1983640081799591
buildup_may,other,deterrence,35,0.09433962264150944,0.07157464212678936
buildup_may,other,diplomacy,234,0.15077319587628865,0.4785276073619632
buildup_may,other,strike_claims,11,0.125,0.022494887525562373
buildup_jun1,us_aligned,military_action,466,0.46693386773547096,0.36180124223602483
buildup_jun1,us_aligned,nuclear_program,327,0.40470297029702973,0.25388198757763975
buildup_jun1,us_aligned,deterrence,89,0.4810810810810811,0.06909937888198758
buildup_jun1,us_aligned,diplomacy,374,0.5102319236016372,0.29037267080745344
buildup_jun1,us_aligned,strike_claims,32,0.37209302325581395,0.024844720496894408
buildup_jun1,iran_aligned,military_action,282,0.28256513026052105,0.2968421052631579
buildup_jun1,iran_aligned,nuclear_program,378,0.46782178217821785,0.39789473684210525
buildup_jun1,iran_aligned,deterrence,51,0.2756756756756757,0.05368421052631579
buildup_jun1,iran_aligned,diplomacy,214,0.29195088676671216,0.22526315789473683
buildup_jun1,iran_aligned,strike_claims,25,0.29069767441860467,0.02631578947368421
buildup_jun1,neutral,military_action,21,0.021042084168336674,0.1693548387096774
buildup_jun1,neutral,nuclear_program,66,0.08168316831683169,0.532258064516129
buildup_jun1,neutral,deterrence,12,0.06486486486486487,0.0967741935483871
buildup_jun1,neutral,diplomacy,23,0.03137789904502047,0.18548387096774194
buildup_jun1,neutral,strike_claims,2,0.023255813953488372,0.016129032258064516
buildup_jun1,other,military_action,229,0.22945891783567135,0.5111607142857143
buildup_jun1,other,nuclear_program,37,0.04579207920792079,0.08258928571428571
buildup_jun1,other,deterrence,33,0.1783783783783784,0.07366071428571429
buildup_jun1,other,diplomacy,122,0.1664392905866303,0.27232142857142855
buildup_jun1,other,strike_claims,27,0.313953488372093,0.060267857142857144
climax_w1,us_aligned,military_action,3792,0.5817735501687634,0.5
climax_w1,us_aligned,nuclear_program,1715,0.4935251798561151,0.22613396624472573
climax_w1,us_aligned,deterrence,667,0.5784908933217693,0.08794831223628692
climax_w1,us_aligned,diplomacy,943,0.5820987654320988,0.12434071729957806
climax_w1,us_aligned,strike_claims,467,0.5579450418160096,0.06157700421940928
climax_w1,iran_aligned,military_action,2375,0.36437557532985576,0.470949831449534
climax_w1,iran_aligned,nuclear_program,1455,0.418705035971223,0.28851873884592505
climax_w1,iran_aligned,deterrence,410,0.35559410234171723,0.08130081300813008
climax_w1,iran_aligned,diplomacy,506,0.31234567901234567,0.10033710093198493
climax_w1,iran_aligned,strike_claims,297,0.3548387096774194,0.05889351576442594
