article_id,window,links_A,mil_A,links_B,mil_B,share_A,share_B,phase
0370,climax_w2,6,0,3,0,0.0,0.0,climax
0371,climax_w1,15,10,7,5,0.6666666666666666,0.7142857142857143,climax
0372,climax_w2,6,4,4,3,0.6666666666666666,0.75,climax
0373,climax_w2,9,8,6,5,0.8888888888888888,0.8333333333333334,climax
0374,aftermath_jun-jul,19,4,8,2,0.21052631578947367,0.25,other
0375,climax_w1,25,11,7,3,0.44,0.42857142857142855,climax
0376,climax_w1,19,9,6,3,0.47368421052631576,0.5,climax
0377,climax_w2,14,6,8,3,0.42857142857142855,0.375,climax
0378,climax_w2,21,11,9,4,0.5238095238095238,0.4444444444444444,climax
0379,climax_w2,12,11,6,5,0.9166666666666666,0.8333333333333334,climax
0380,climax_w1,5,3,3,2,0.6,0.6666666666666666,climax
0381,aftermath_jun-jul,23,2,8,1,0.08695652173913043,0.125,other
0382,climax_w2,10,7,4,3,0.7,0.75,climax
0383,climax_w2,15,11,6,4,0.7333333333333333,0.6666666666666666,climax
0384,climax_w1,10,6,5,3,0.6,0.6,climax
0385,climax_w1,4,1,3,1,0.25,0.3333333333333333,climax
0386,climax_w1,9,5,5,2,0.5555555555555556,0.4,climax
0387,climax_w1,6,2,4,2,0.3333333333333333,0.5,climax
0388,climax_w1,8,2,5,1,0.25,0.2,climax
0389,climax_w1,8,4,5,3,0.5,0.6,climax
0390,climax_w2,7,7,5,5,1.0,1.0,climax
0391,climax_w2,16,4,11,3,0.25,0.2727272727272727,climax
0392,climax_w1,9,7,5,4,0.7777777777777778,0.8,climax
0393,climax_w2,7,7,5,5,1.0,1.0,climax
0394,climax_w2,6,4,4,3,0.6666666666666666,0.75,climax
0395,climax_w2,15,6,9,4,0.4,0.4444444444444444,climax
0396,climax_w1,9,7,6,5,0.7777777777777778,0.8333333333333334,climax
0397,climax_w2,6,6,4,4,1.0,1.0,climax
0398,climax_w1,7,7,4,4,1.0,1.0,climax
0399,climax_w1,8,4,4,2,0.5,0.5,climax
0400,climax_w1,4,4,2,2,1.0,1.0,climax
0401,aftermath_jun-jul,44,13,18,6,0.29545454545454547,0.3333333333333333,other
0402,aftermath_jun-jul,41,18,15,7,0.43902439024390244,0.4666666666666667,other
0403,aftermath_jun-jul,82,28,32,10,0.34146341463414637,0.3125,other
0404,aftermath_jun-jul,42,11,19,5,0.2619047619047619,0.2631578947368421,other
0405,aftermath_jun-jul,25,6,11,3,0.24,0.2727272727272727,other
0406,aftermath_jun-jul,33,12,13,5,0.36363636363636365,0.38461538461538464,other
0407,aftermath_jun-jul,40,12,13,3,0.3,0.23076923076923078,other
0408,aftermath_jun-jul,62,22,16,6,0.3548387096774194,0.375,other
0409,aftermath_jun-jul,27,13,13,6,0.48148148148148145,0.46153846153846156,other
0410,aftermath_jun-jul,25,13,9,5,0.52,0.5555555555555556,other
0411,aftermath_jun-jul,29,12,13,5,0.41379310344827586,0.38461538461538464,other
0412,aftermath_jun-jul,34,18,11,6,0.5294117647058824,0.5454545454545454,other
0413,aftermath_jun-jul,21,10,14,6,0.47619047619047616,0.42857142857142855,other
0414,aftermath_jun-jul,21,14,11,8,0.6666666666666666,0.7272727272727273,other
0415,aftermath_jun-jul,23,8,12,4,0.34782608695652173,0.3333333333333333,other
0416,aftermath_jun-jul,12,3,4,1,0.25,0.25,other
0417,aftermath_jun-jul,19,10,8,5,0.5263157894736842,0.625,other
0418,aftermath_jun-jul,22,14,9,6,0.6363636363636364,0.6666666666666666,other
0419,aftermath_jun-jul,28,9,11,3,0.32142857142857145,0.2727272727272727,other
0420,aftermath_jun-jul,16,10,7,5,0.625,0.7142857142857143,other
0421,aftermath_jun-jul,10,7,4,3,0.7,0.75,other
0422,aftermath_jun-jul,41,13,18,5,0.3170731707317073,0.2777777777777778,other
0423,aftermath_jun-jul,30,15,9,4,0.5,0.4444444444444444,other
0424,aftermath_jun-jul,13,8,6,4,0.6153846153846154,0.6666666666666666,other
0425,aftermath_jun-jul,26,8,14,4,0.3076923076923077,0.2857142857142857,other
0426,aftermath_jun-jul,110,30,52,15,0.2727272727272727,0.28846153846153844,other
0427,aftermath_jun-jul,13,8,6,4,0.6153846153846154,0.6666666666666666,other
0428,aftermath_jun-jul,19,10,10,5,0.5263157894736842,0.5,other
0429,aftermath_jun-jul,12,9,6,5,0.75,0.8333333333333334,other
0430,aftermath_jun-jul,31,6,14,2,0.1935483870967742,0.14285714285714285,other
0431,aftermath_jun-jul,13,10,6,5,0.7692307692307693,0.8333333333333334,other
0432,aftermath_jun-jul,23,11,10,5,0.4782608695652174,0.5,other
0433,aftermath_jun-jul,20,10,8,4,0.5,0.5,other
0434,aftermath_jun-jul,32,16,19,8,0.5,0.42105263157894735,other
0435,aftermath_jun-jul,25,10,7,3,0.4,0.42857142857142855,other
0436,aftermath_jun-jul,55,16,20,5,0.2909090909090909,0.25,other
0437,aftermath_jun-jul,10,6,5,4,0.6,0.8,other
0438,aftermath_jun-jul,22,4,9,1,0.18181818181818182,0.1111111111111111,other
0439,aftermath_jun-jul,8,5,4,2,0.625,0.5,other
0440,aftermath_jun-jul,28,0,11,0,0.0,0.0,other
0441,aftermath_jun-jul,49,6,21,3,0.12244897959183673,0.14285714285714285,other
0442,aftermath_jun-jul,54,9,20,3,0.16666666666666666,0.15,other
0443,aftermath_jun-jul,18,8,8,4,0.4444444444444444,0.5,other
0444,aftermath_jun-jul,27,5,13,2,0.18518518518518517,0.15384615384615385,other
0445,aftermath_jun-jul,35,7,11,2,0.2,0.18181818181818182,other
0446,aftermath_jun-jul,17,10,8,5,0.5882352941176471,0.625,other
0447,aftermath_jun-jul,43,11,16,3,0.2558139534883721,0.1875,other
0448,aftermath_jun-jul,23,4,10,2,0.17391304347826086,0.2,other
0449,aftermath_jun-jul,28,19,11,8,0.6785714285714286,0.7272727272727273,other
0450,aftermath_jun-jul,38,19,14,8,0.5,0.5714285714285714,other
0451,aftermath_jun-jul,29,13,9,4,0.4482758620689655,0.4444444444444444,other
0452,aftermath_jun-jul,41,14,27,7,0.34146341463414637,0.25925925925925924,other
0453,aftermath_jun-jul,11,8,5,4,0.7272727272727273,0.8,other
0454,aftermath_jun-jul,55,17,27,7,0.3090909090909091,0.25925925925925924,other
0455,aftermath_jun-jul,22,11,10,5,0.5,0.5,other
0456,aftermath_jun-jul,44,19,24,10,0.4318181818181818,0.4166666666666667,other
0457,aftermath_jun-jul,71,21,37,10,0.29577464788732394,0.2702702702702703,other
0458,aftermath_jun-jul,29,13,9,4,0.4482758620689655,0.4444444444444444,other
0459,aftermath_jun-jul,51,18,23,7,0.35294117647058826,0.30434782608695654,other
0460,aftermath_jun-jul,29,9,13,3,0.3103448275862069,0.23076923076923078,other
0461,aftermath_jun-jul,17,9,11,6,0.5294117647058824,0.5454545454545454,other
0462,aftermath_jun-jul,10,5,5,2,0.5,0.4,other
0463,aftermath_jun-jul,16,7,9,4,0.4375,0.4444444444444444,other
0464,aftermath_jun-jul,13,6,8,3,0.46153846153846156,0.375,other
0465,aftermath_jun-jul,27,7,12,3,0.25925925925925924,0.25,other
0466,aftermath_jun-jul,16,8,6,3,0.5,0.5,other
0467,aftermath_jun-jul,20,0,8,0,0.0,0.0,other
0468,aftermath_jun-jul,15,8,8,5,0.5333333333333333,0.625,other
0469,aftermath_jun-jul,46,0,13,0,0.0,0.0,other
0470,aftermath_jun-jul,36,10,12,3,0.2777777777777778,0.25,other
0471,aftermath_jun-jul,16,10,7,5,0.625,0.7142857142857143,other
0472,aftermath_jun-jul,14,6,9,4,0.42857142857142855,0.4444444444444444,other
0473,aftermath_jun-jul,15,11,8,5,0.7333333333333333,0.625,other
0474,aftermath_jun-jul,16,8,8,4,0.5,0.5,other
0475,aftermath_jun-jul,50,19,34,14,0.38,0.4117647058823529,other
0476,aftermath_jun-jul,26,10,7,2,0.38461538461538464,0.2857142857142857,other
0477,aftermath_jun-jul,17,12,8,5,0.7058823529411765,0.625,other
0478,aftermath_jun-jul,12,3,5,1,0.25,0.2,other
0479,aftermath_jun-jul,12,7,5,3,0.5833333333333334,0.6,other
0480,aftermath_jun-jul,20,11,8,5,0.55,0.625,other
0481,aftermath_jun-jul,31,3,13,2,0.0967741935483871,0.15384615384615385,other
0482,aftermath_jun-jul,9,2,5,1,0.2222222222222222,0.2,other
0483,aftermath_jun-jul,7,3,4,1,0.42857142857142855,0.25,other
0484,aftermath_jun-jul,23,5,11,3,0.21739130434782608,0.2727272727272727,other
0485,aftermath_jun-jul,43,7,22,4,0.16279069767441862,0.18181818181818182,other
0486,aftermath_jun-jul,45,8,22,4,0.17777777777777778,0.18181818181818182,other
0487,aftermath_jun-jul,15,8,6,3,0.5333333333333333,0.5,other
0488,aftermath_jun-jul,24,7,5,1,0.2916666666666667,0.2,other
0489,aftermath_jun-jul,11,3,7,2,0.2727272727272727,0.2857142857142857,other
0490,aftermath_jun-jul,20,3,12,2,0.15,0.16666666666666666,other
0491,aftermath_jun-jul,11,8,5,3,0.7272727272727273,0.6,other
0492,aftermath_jun-jul,14,2,7,1,0.14285714285714285,0.14285714285714285,other
0493,aftermath_jun-jul,65,23,34,10,0.35384615384615387,0.29411764705882354,other
0494,aftermath_jun-jul,20,0,8,0,0.0,0.0,other
0495,aftermath_jun-jul,5,3,3,2,0.6,0.6666666666666666,other
0496,aftermath_jun-jul,15,8,9,5,0.5333333333333333,0.5555555555555556,other
0497,aftermath_jun-jul,25,17,10,6,0.68,0.6,other
0498,aftermath_jun-jul,12,4,7,3,0.3333333333333333,0.42857142857142855,other
0499,aftermath_jun-jul,40,19,23,10,0.475,0.43478260869565216,other
0500,aftermath_jun-jul,21,0,11,0,0.0,0.0,other
0501,aftermath_jun-jul,15,3,7,2,0.2,0.2857142857142857,other
0502,aftermath_jun-jul,50,3,17,2,0.06,0.11764705882352941,other
0503,aftermath_jun-jul,27,11,15,5,0.4074074074074074,0.3333333333333333,other
0504,aftermath_jun-jul,4,2,2,1,0.5,0.5,other
0505,aftermath_jun-jul,8,5,4,2,0.625,0.5,other
0506,aftermath_jun-jul,20,11,8,5,0.55,0.625,other
0507,aftermath_jun-jul,25,5,11,2,0.2,0.18181818181818182,other
0508,aftermath_jun-jul,16,12,9,7,0.75,0.7777777777777778,other
0509,aftermath_jun-jul,16,7,10,5,0.4375,0.5,other
0510,aftermath_jun-jul,9,1,5,1,0.1111111111111111,0.2,other
0511,aftermath_jun-jul,3,2,2,1,0.6666666666666666,0.5,other
0512,aftermath_jun-jul,24,7,11,2,0.2916666666666667,0.18181818181818182,other
0513,aftermath_jun-jul,6,2,3,1,0.3333333333333333,0.3333333333333333,other
0514,aftermath_jun-jul,11,4,7,2,0.36363636363636365,0.2857142857142857,other
