window,group,concept,volume,share_of_concept,share_of_group
buildup_may,us_aligned,diplomacy,161,0.3382352941176471,0.5210355987055016
buildup_may,us_aligned,strike_claims,9,0.24324324324324326,0.02912621359223301
buildup_may,iran_aligned,military_action,28,0.45161290322580644,0.04912280701754386
buildup_may,iran_aligned,nuclear_program,231,0.5938303341902313,0.4052631578947368
buildup_may,iran_aligned,deterrence,52,0.5473684210526316,0.0912280701754386
buildup_may,iran_aligned,diplomacy,236,0.4957983193277311,0.41403508771929826
buildup_may,iran_aligned,strike_claims,23,0.6216216216216216,0.04035087719298246
buildup_may,neutral,military_action,3,0.04838709677419355,0.025423728813559324
buildup_may,neutral,nuclear_program,49,0.12596401028277635,0.4152542372881356
buildup_may,neutral,deterrence,16,0.16842105263157894,0.13559322033898305
buildup_may,neutral,diplomacy,46,0.09663865546218488,0.3898305084745763
buildup_may,neutral,strike_claims,4,0.10810810810810811,0.03389830508474576
buildup_may,other,military_action,9,0.14516129032258066,0.14516129032258066
buildup_may,other,nuclear_program,16,0.04113110539845758,0.25806451612903225
buildup_may,other,deterrence,3,0.031578947368421054,0.04838709677419355
buildup_may,other,diplomacy,33,0.06932773109243698,0.532258064516129
buildup_may,other,strike_claims,1,0.02702702702702703,0.016129032258064516
buildup_jun1,us_aligned,military_action,18,0.45,0.07317073170731707
buildup_jun1,us_aligned,nuclear_program,93,0.21779859484777517,0.3780487804878049
buildup_jun1,us_aligned,deterrence,21,0.31343283582089554,0.08536585365853659
buildup_jun1,us_aligned,diplomacy,100,0.30120481927710846,0.4065040650406504
buildup_jun1,us_aligned,strike_claims,14,0.2153846153846154,0.056910569105691054
buildup_jun1,iran_aligned,military_action,21,0.525,0.046255506607929514
buildup_jun1,iran_aligned,nuclear_program,215,0.5035128805620609,0.473568281938326
buildup_jun1,iran_aligned,deterrence,32,0.47761194029850745,0.07048458149779736
buildup_jun1,iran_aligned,diplomacy,157,0.47289156626506024,0.3458149779735683
buildup_jun1,iran_aligned,strike_claims,29,0.4461538461538462,0.06387665198237885
buildup_jun1,neutral,military_action,0,0.0,0.0
buildup_jun1,neutral,nuclear_program,102,0.2388758782201405,0.5543478260869565
buildup_jun1,neutral,deterrence,13,0.19402985074626866,0.07065217391304347
buildup_jun1,neutral,diplomacy,48,0.14457831325301204,0.2608695652173913
buildup_jun1,neutral,strike_claims,21,0.3230769230769231,0.11413043478260869
buildup_jun1,other,military_action,1,0.025,0.02127659574468085
buildup_jun1,other,nuclear_program,17,0.03981264637002342,0.3617021276595745
buildup_jun1,other,deterrence,1,0.014925373134328358,0.02127659574468085
buildup_jun1,other,diplomacy,27,0.08132530120481928,0.574468085106383
buildup_jun1,other,strike_claims,1,0.015384615384615385,0.02127659574468085
climax_w1,us_aligned,military_action,381,0.46463414634146344,0.612540192926045
climax_w1,us_aligned,nuclear_program,71,0.3141592920353982,0.11414790996784566
climax_w1,us_aligned,deterrence,50,0.38461538461538464,0.08038585209003216
climax_w1,us_aligned,diplomacy,36,0.4090909090909091,0.05787781350482315
climax_w1,us_aligned,strike_claims,84,0.39436619718309857,0.13504823151125403
climax_w1,iran_aligned,military_action,389,0.474390243902439,0.563768115942029
climax_w1,iran_aligned,nuclear_program,105,0.4646017699115044,0.15217391304347827
climax_w1,iran_aligned,deterrence,64,0.49230769230769234,0.0927536231884058
climax_w1,iran_aligned,diplomacy,37,0.42045454545454547,0.0536231884057971
climax_w1,iran_aligned,strike_claims,95,0.4460093896713615,0.13768115942028986
climax_w1,neutral,military_action,31,0.03780487804878049,0.2767857142857143
climax_w1,neutral,nuclear_program,44,0.19469026548672566,0.39285714285714285
climax_w1,neutral,deterrence,13,0.1,0.11607142857142858
climax_w1,neutral,diplomacy,5,0.056818181818181816,0.044642857142857144
