window,actor,out_degree,in_degree,out_weight,in_weight,agent_ratio,pagerank
buildup_may,BIDEN,0,0,0,0,,0.0171
buildup_may,CHINA,0,0,0,0,,0.0171
buildup_may,DEMOCRATS,0,0,0,0,,0.0171
buildup_may,EU,0,1,0,1,0.0,0.0906
buildup_may,FRANCE,0,0,0,0,,0.0171
buildup_may,GAZA,0,0,0,0,,0.0171
buildup_may,GERMANY,0,0,0,0,,0.0171
buildup_may,GROSSI,0,0,0,0,,0.0171
buildup_may,GULF_STATES,0,0,0,0,,0.0171
buildup_may,HAMAS,1,1,1,1,0.5,0.0219
buildup_may,HEGSETH,1,0,1,0,1.0,0.0171
buildup_may,HEZBOLLAH,0,0,0,0,,0.0171
buildup_may,HOUTHIS,0,0,0,0,,0.0171
buildup_may,IAEA,0,0,0,0,,0.0171
buildup_may,IRAN,1,3,2,5,0.2857,0.071
buildup_may,IRAQ,0,0,0,0,,0.0171
buildup_may,ISRAEL,1,1,2,1,0.6667,0.0357
buildup_may,KHAMENEI,0,0,0,0,,0.0171
buildup_may,LEBANON,0,0,0,0,,0.0171
buildup_may,NATO,0,0,0,0,,0.0171
buildup_may,NETANYAHU,0,1,0,1,0.0,0.0216
buildup_may,OBAMA,0,0,0,0,,0.0171
buildup_may,OMAN,0,0,0,0,,0.0171
buildup_may,PEZESHKIAN,0,0,0,0,,0.0171
buildup_may,PUTIN,0,0,0,0,,0.0171
buildup_may,QATAR,2,0,3,0,1.0,0.0171
buildup_may,REPUBLICANS,0,0,0,0,,0.0171
buildup_may,RUBIO,0,0,0,0,,0.0171
buildup_may,RUSSIA,1,0,2,0,1.0,0.0171
buildup_may,SAUDI_ARABIA,0,0,0,0,,0.0171
buildup_may,SYRIA,0,0,0,0,,0.0171
buildup_may,TRUMP,3,1,5,2,0.7143,0.0267
buildup_may,UAE,0,0,0,0,,0.0171
buildup_may,UK,0,0,0,0,,0.0171
buildup_may,UKRAINE,0,1,0,2,0.0,0.0316
buildup_may,UN_SECURITY_COUNCIL,0,0,0,0,,0.0171
buildup_may,USA,1,2,1,4,0.2,0.0865
buildup_may,US_CONGRESS,0,0,0,0,,0.0171
buildup_may,US_SENATE,0,0,0,0,,0.0171
buildup_may,VANCE,0,0,0,0,,0.0171
buildup_may,WITKOFF,0,0,0,0,,0.0171
buildup_may,YEMEN,0,0,0,0,,0.0171
buildup_jun1,ARAGHCHI,0,0,0,0,,0.02
buildup_jun1,BAHRAIN,0,0,0,0,,0.02
buildup_jun1,BIDEN,0,0,0,0,,0.02
buildup_jun1,CHINA,0,0,0,0,,0.02
buildup_jun1,DEMOCRATS,0,0,0,0,,0.02
buildup_jun1,EU,0,0,0,0,,0.02
buildup_jun1,FRANCE,0,0,0,0,,0.02
buildup_jun1,GAZA,0,0,0,0,,0.02
buildup_jun1,GERMANY,0,0,0,0,,0.02
buildup_jun1,GROSSI,0,0,0,0,,0.02
buildup_jun1,GULF_STATES,0,0,0,0,,0.02
buildup_jun1,HAMAS,0,0,0,0,,0.02
buildup_jun1,HEGSETH,0,0,0,0,,0.02
buildup_jun1,HEZBOLLAH,1,0,1,0,1.0,0.02
buildup_jun1,HOUTHIS,0,0,0,0,,0.02
buildup_jun1,IAEA,0,0,0,0,,0.02
buildup_jun1,IRAN,0,3,0,11,0.0,0.0853
buildup_jun1,IRAQ,0,0,0,0,,0.02
buildup_jun1,ISRAEL,1,1,9,1,0.9,0.0369
buildup_jun1,KHAMENEI,0,0,0,0,,0.02
buildup_jun1,LEBANON,0,0,0,0,,0.02
buildup_jun1,NATO,0,0,0,0,,0.02
buildup_jun1,NETANYAHU,0,1,0,3,0.0,0.0301
buildup_jun1,OBAMA,0,0,0,0,,0.02
buildup_jun1,OMAN,0,0,0,0,,0.02
buildup_jun1,PEZESHKIAN,0,0,0,0,,0.02
buildup_jun1,PUTIN,1,1,1,2,0.3333,0.0267
buildup_jun1,QATAR,0,0,0,0,,0.02
buildup_jun1,REPUBLICANS,0,0,0,0,,0.02
buildup_jun1,RUBIO,1,0,1,0,1.0,0.02
buildup_jun1,RUSSIA,0,0,0,0,,0.02
buildup_jun1,SAUDI_ARABIA,0,0,0,0,,0.02
buildup_jun1,SYRIA,0,0,0,0,,0.02
buildup_jun1,TRUMP,2,0,5,0,1.0,0.02
buildup_jun1,UAE,0,0,0,0,,0.02
buildup_jun1,UK,0,0,0,0,,0.02
buildup_jun1,UKRAINE,0,1,0,1,0.0,0.0427
buildup_jun1,UN_SECURITY_COUNCIL,0,0,0,0,,0.02
buildup_jun1,USA,1,0,1,0,1.0,0.02
buildup_jun1,US_CONGRESS,0,0,0,0,,0.02
buildup_jun1,US_SENATE,0,0,0,0,,0.02
buildup_jun1,VANCE,0,0,0,0,,0.02
buildup_jun1,WITKOFF,0,0,0,0,,0.02
buildup_jun1,YEMEN,0,0,0,0,,0.02
climax_w1,ARAGHCHI,0,0,0,0,,0.0094
climax_w1,BAHRAIN,0,0,0,0,,0.0094
climax_w1,BIDEN,0,0,0,0,,0.0094
climax_w1,CHINA,1,0,1,0,1.0,0.0094
