window,actor,metric,value,centrality_method
buildup_mar,RUSSIA,eigenvector_katz,0.09745998531111927,katz_fallback
buildup_mar,ARAGHCHI,eigenvector_katz,0.10464998168620455,katz_fallback
buildup_mar,LEBANON,eigenvector_katz,0.050222019477170296,katz_fallback
buildup_mar,GULF_STATES,eigenvector_katz,0.04984988693883222,katz_fallback
buildup_apr,GROSSI,degree_centrality,0.8,exact
buildup_apr,RUBIO,degree_centrality,0.0,exact
buildup_apr,FRANCE,degree_centrality,1.0,exact
buildup_apr,QATAR,degree_centrality,0.0,exact
buildup_apr,EU,degree_centrality,0.8,exact
buildup_apr,ISRAEL,degree_centrality,1.0,exact
buildup_apr,UK,degree_centrality,0.8,exact
buildup_apr,WITKOFF,degree_centrality,0.4,exact
buildup_apr,IAEA,degree_centrality,1.0,exact
buildup_apr,BIDEN,degree_centrality,0.0,exact
buildup_apr,KHAMENEI,degree_centrality,0.6000000000000001,exact
buildup_apr,UKRAINE,degree_centrality,0.2,exact
buildup_apr,US_CONGRESS,degree_centrality,0.0,exact
buildup_apr,HAMAS,degree_centrality,0.0,exact
buildup_apr,UAE,degree_centrality,0.4,exact
buildup_apr,SYRIA,degree_centrality,0.2,exact
buildup_apr,DEMOCRATS,degree_centrality,0.0,exact
buildup_apr,OMAN,degree_centrality,0.8,exact
buildup_apr,PUTIN,degree_centrality,0.0,exact
buildup_apr,HEZBOLLAH,degree_centrality,0.0,exact
buildup_apr,NATO,degree_centrality,0.2,exact
buildup_apr,UN_SECURITY_COUNCIL,degree_centrality,0.2,exact
buildup_apr,OBAMA,degree_centrality,0.0,exact
buildup_apr,NETANYAHU,degree_centrality,0.6000000000000001,exact
buildup_apr,GERMANY,degree_centrality,0.8,exact
buildup_apr,US_SENATE,degree_centrality,0.0,exact
buildup_apr,VANCE,degree_centrality,0.0,exact
buildup_apr,IRAQ,degree_centrality,0.0,exact
buildup_apr,IRAN,degree_centrality,1.0,exact
buildup_apr,BAHRAIN,degree_centrality,0.2,exact
buildup_apr,HOUTHIS,degree_centrality,0.0,exact
buildup_apr,TRUMP,degree_centrality,0.8,exact
buildup_apr,PEZESHKIAN,degree_centrality,0.8,exact
buildup_apr,CHINA,degree_centrality,0.6000000000000001,exact
buildup_apr,REPUBLICANS,degree_centrality,0.0,exact
buildup_apr,USA,degree_centrality,0.8,exact
buildup_apr,GAZA,degree_centrality,0.4,exact
buildup_apr,SAUDI_ARABIA,degree_centrality,0.2,exact
buildup_apr,YEMEN,degree_centrality,0.0,exact
buildup_apr,HEGSETH,degree_centrality,0.0,exact
buildup_apr,RUSSIA,degree_centrality,0.8,exact
buildup_apr,ARAGHCHI,degree_centrality,1.0,exact
buildup_apr,LEBANON,degree_centrality,0.0,exact
buildup_apr,GULF_STATES,degree_centrality,0.0,exact
buildup_apr,GROSSI,betweenness_centrality,0.0030603768468393756,exact
buildup_apr,RUBIO,betweenness_centrality,0.0,exact
buildup_apr,FRANCE,betweenness_centrality,0.006238733446542375,exact
buildup_apr,QATAR,betweenness_centrality,0.0,exact
buildup_apr,EU,betweenness_centrality,0.004261015679838757,exact
buildup_apr,ISRAEL,betweenness_centrality,0.006238733446542375,exact
buildup_apr,UK,betweenness_centrality,0.004261015679838757,exact
buildup_apr,WITKOFF,betweenness_centrality,0.0008556288686581848,exact
buildup_apr,IAEA,betweenness_centrality,0.006238733446542375,exact
buildup_apr,BIDEN,betweenness_centrality,0.0,exact
buildup_apr,KHAMENEI,betweenness_centrality,0.0019023231035346013,exact
